0GILDED UPDATE|ПОЗОЛОЧЕННОЕ ОБНОВЛЕНИЕ
[Beta]|[Бета]
Default|По умолчанию
Vanilla|Ванилла
Main|Основное
Options|Настройки
escoptions_options|Эти параметры изменяют основные способности Эскорта и то, как они используются.<LINE>Вы можете найти простой режим и сборки в СБОРКАХ, а дополнительные забавные махинации — в УЛОВКАХ.
escoptions_meanlizards_text|Включить (дополнительно) Злые Ящерицы
escoptions_meanlizards_desc|Когда эта функция включена, ящерицы будут появляться с полной агрессией при игре за Эскорта (и нацеливаться на Эскорта при виде)... поведение может не сохраняться в кооперативных сессиях.
escoptions_vengefullizards_text|Включить мстительных ящериц
escoptions_vengefullizards_desc|Убив слишком много ящериц, ящерицы могут начать охоту на Эскорта.
escoptions_carry_text|Множитель подъёмной силы
escoptions_carry_desc|Определяет, насколько тяжёлый (в X раз больше веса Эскорта) объект, который Эскорт может нести, пока не устанет.
escoptions_dropkick_text|Множитель отбрасывания от удара броском
escoptions_dropkick_desc|Сколько отбрасывания вызывает удар Эскорта? Имейте в виду, что это действует только на существ, которые не устойчивы к отбрасыванию.
escoptions_hype_text|Механика батл-хайпа
escoptions_hypecheckbox_desc|Включает/отключает механику батл-хайпа Escort.
escoptions_hypeslider_desc|Определяет, насколько мягкими являются требования батл-хайпа.
escoptions_hypeselect_a|0=Всегда
escoptions_hypeselect_b|1=50% усталость
escoptions_hypeselect_c|2=66% усталость
escoptions_hypeselect_d|3=75% усталость
escoptions_hypeselect_e|4=80% усталость
escoptions_hypeselect_f|5=87% усталость
escoptions_hypeselect_g|6=92% усталость
hype_tutorial|Чем больше вы на хайпе, тем сильнее вы становитесь!
escoptions_longwall_text|Длинный прыжок от стены
escoptions_longwall_desc|Позволяет Эскорту делать прыжки (удерживая прыжок), но также и по стенам. Повлияет на ощущения от прыжков от стены в целом. Рекомендуется выключить.
escoptions_flippounce_text|Пружинистый налёт
escoptions_flippounce_desc|Заставляет Эскорта делать (уродливое) сальто с прыжками и позволяет Эскорту выполнять супер-прыжок-с-переворотом-от-стеныTM, держась по диагонали у стены и нажимая прыжок.
flippounce_tutorial|Удерживайте диагональное направление около 1 секунды, затем нажмите прыжок, чтобы сделать супер сальто от стены!
escoptions_lizgrab_text|Взятие оглушённых ящериц
escoptions_lizgrab_desc|Позволяет Эскорту хватать оглушенных ящериц и причинать им насилие.
lizgrab_tutorial|Оглушите ящерицу, чтобы схватить её, затем прыгните и нажмите кнопку броска, чтобы ударить её!
escoptions_superspear_text|Супер Копьё
