0GILDED UPDATE|ACTUALIZACIÓN DEL ESTILO DORADO
[Beta]| [Beta]
Default|Predeterminado
Vanilla|Vanilla
Main|Principal
Options|Opciones
escoptions_options|Estas opciones cambian las habilidades principales y la jugabilidad del Escolta.<LINE>Puedes encontrar el modo fácil y los estilos en ESTILOS, y travesuras adicionales en CHUCHERÍAS. (Glosario técnico: «true» significa activado y «false» desactivado.)
escoptions_meanlizards_text|Lagartos (más) agresivos
escoptions_meanlizards_desc|Los lagartos aparecerán con la agresión al tope al jugar con el Escolta (y se dirigirán a él al verlo)... puede que esto no suceda en sesiones cooperativas.
escoptions_vengefullizards_text|Lagartos vengativos
escoptions_vengefullizards_desc|Los lagartos, tras matar demasiados de ellos, puede que empiecen a perseguir al Escolta.
escoptions_carry_text|Multiplicador de la potencia de levantamiento
escoptions_carry_desc|Determina cuán pesado (x veces el peso del Escolta) puede llevar el Escolta un objeto antes de ser cargado.
escoptions_dropkick_text|Multiplicador del empuje de la patada voladora
escoptions_dropkick_desc|Cuánto empuje ocasiona la patada voladora del Escolta. Ten en cuenta que solo afecta a criaturas que no sean resilientes a los empujes.
escoptions_hype_text|Entusiasmo de combate
escoptions_hypecheckbox_desc|Activa/Desactiva la mecánica de entusiasmo de combate del Escolta.
escoptions_hypeslider_desc|Determina qué tan permisivos son los requisitos del entusiasmo de combate.
escoptions_hypeselect_a|0=Siempre activo
escoptions_hypeselect_b|1=Cansancio del 50%
escoptions_hypeselect_c|2=Cansancio del 66%
escoptions_hypeselect_d|3=Cansancio del 75%
escoptions_hypeselect_e|4=Cansancio del 80%
escoptions_hypeselect_f|5=Cansancio del 87%
escoptions_hypeselect_g|6=Cansancio del 92%
hype_tutorial|Cuanto más entusiasmado estés, ¡más poderoso te volverás!
escoptions_longwall_text|Salto largo de pared
escoptions_longwall_desc|Permite al Escolta lanzarse (mantener saltar), pero sobre muros también. Afectará cómo se perciben los saltos de pared. Recomendado: desactivado.
escoptions_flippounce_text|Lanzarse con volteretas
escoptions_flippounce_desc|Hace que el Escolta haga una voltereta al lanzarse y un Salto de Súper Voltereta de Pared™ al mantener una diagonal contra la pared y pulsar saltar.
flippounce_tutorial|Mantén brevemente una dirección diagonal contra la pared y luego pulsa saltar para hacer una ¡súper voltereta de pared!
escoptions_lizgrab_text|Agarrar lagartos aturdidos
escoptions_lizgrab_desc|Permite al Escolta agarrar lagartos aturdidos y causar violencia en ellos.
lizgrab_tutorial|¡Aturde a un lagarto para agarrarlo, luego salta y pulsa el botón de lanzar para patearlo!
escoptions_superspear_text|Súper lanzas
escoptions_superspear_desc|Técnica de movimiento adicional al arrojar lanzas para facilitar los combos.
escoptions_pupsforeveryone_text|Cría del Escolta desbloqueada
escoptions_pupsforeveryone_desc|Permite que los demás estilos del Escolta tengan la cría de gatobabosa. ADVERTENCIA: Puede provocar errores.
Builds|Estilos
escoptions_builds|Estos cambiarán valores ocultos de ciertas maneras para cambiar el estilo de juego<LINE>del Escolta. ¡Prueba cada estilo para ver cuál te gusta más!
(1)   (2)   (3)   (4) <-PLAYER #|(1)   (2)   (3)   (4) <-JUGADOR #
escoptions_buildeasy_text|Modo fácil
[P1] |[J1] 
[P2] |[J2] 
[P3] |[J3] 
[P4] |[J4] 
escoptions_buildeasy_desc|Activa la habilidad de hacer una patada voladora pulsando Saltar + Agarrar en el aire para el <REPLACE>.
Player 1|Jugador 1
Player 2|Jugador 2
Player 3|Jugador 3
Player 4|Jugador 4
escoptions_build_desc|Selecciona el estilo para el <REPLACE>.
default_desc|El básico, con algunos trucos bajo la manga para no quedarse atrás.
default_tut_a|El <DEFAULT> nada con mayor facilidad, teniendo más tiempo de respiración y mejores habilidades nadando.
default_tut_b|¡También hace mejores técnicas de poste que los demás Escoltas!
Brawler|Luchador
brawler_desc|Cambia a un estilo de lucha cuerpo a cuerpo con puñetazos y cuchilladas.
brawler_shanktut_a|El <BRAWLER> puede acuchillar criaturas cuando empuña una lanza.
brawler_shanktut_b|Ataca a corta distancia o causa daño agarrando a la criatura y acuchillándola.
brawler_shanktut_c|¡Para arrojar una lanza, arrójala mientras te deslizas!
brawler_punchtut|Las rocas pueden ser usadas para golpear depredadores.
brawler_ms_expunchtut|¡Las bombas permiten al <BRAWLER> lanzar un golpe explosivo!
Deflector|Desviador
deflector_desc|Arriésgate bloqueando ataques al deslizar, rodar o hacer una voltereta para sobrevivir.
deflector_tut_a|El <DEFLECTOR>, por defecto, causa la mitad de daño. 
deflector_tut_b|Puede simplemente atacar el doble de rápido para compensar la pérdida de poder...
deflector_tut_c|O bloquear los ataques rodando, deslizándose o haciendo volteretas para volverse empoderado!
deflector_tut_d|Al estar empoderado, hace el triple de daño, pero solo se aplica a un ataque y desaparece si no se usa.
deflector_tut_e|¡Pero no pasa nada, solo vence al depredador!
deflector_ms_tut|¡Bloquea proyectiles para devolver el arma de vuelta al remitente!
Escapist|Escapista
escapist_desc|Escapa a la fuerza de capturas, incluso con las manos vacías (mantén lanzar).
escapist_tut_a|¡Agarra algo y lánzala al depredador antes de que el texto «Fin del juego» aparezca!
escapist_tut_b|O, si no hay nada cerca, mantén lanzar para salir con coacción de la captura.
escapist_tut_c|Ten cuidado, eso te dejará en un estado vulnerable.
escapist_new_desc|Escapa de cualquier situación con estilo y destreza. Deja en ridículo a los depredadores.
escapist_new_tut_a|Pulsa brevemente el mapa para teletransportarte a donde el <ESCAPIST> estuvo hace dos segundos.
escapist_new_tut_b|Cualquier criatura atrapada entre tu antigua posición y la nueva se vuelve vulnerable. Esto reiniciará el tiempo de espera por la mitad.
escapist_new_tut_c|¡Ataca para sacar provecho de la situación y reinicia el tiempo de espera de la habilidad aún más!
Railgunner|Artillero
